Date,Open,High,Low,Close,Volume,Adj Close
2004-09-01,3794.169922,4000.129883,3792.25,3892.899902,000,3892.899902
2004-08-02,3891.179932,3891.780029,3618.580078,3785.209961,000,3785.209961
2004-07-01,4078.360107,4101.52002,3749.040039,3895.610107,000,3895.610107
2004-06-01,3924.300049,4090.75,3856.040039,4052.72998,000,4052.72998
2004-05-03,3972.879883,4029.320068,3710.02002,3921.409912,000,3921.409912
2004-04-01,3858.340088,4156.890137,3857.040039,3985.209961,000,3985.209961
2004-03-01,4026.189941,4163.189941,3692.399902,3856.699951,000,3856.699951
2004-02-02,4062.790039,4150.560059,3960.409912,4018.159912,000,4018.159912
2004-01-02,3969.040039,4175.47998,3969.040039,4058.600098,000,4058.600098
2003-12-01,3752.719971,3996.280029,3752.719971,3965.159912,000,3965.159912
2003-11-03,3657.610107,3814.209961,3576.52002,3745.949951,000,3745.949951
2003-10-01,3255.76001,3675.780029,3217.399902,3655.98999,000,3655.98999
2003-09-01,3493.340088,3676.879883,3202.870117,3256.780029,000,3256.780029
2003-08-01,3481.810059,3588.530029,3299.77002,3484.580078,000,3484.580078
2003-07-01,3217.209961,3487.860107,3119.350098,3487.860107,000,3487.860107
2003-06-02,2990.929932,3324.439941,2990.929932,3220.580078,000,3220.580078
2003-05-02,2938.719971,3068.080078,2769.449951,2982.679932,000,2982.679932
2003-04-01,2426.23999,3004.790039,2395.719971,2942.040039,000,2942.040039
2003-03-03,2553.73999,2731.570068,2188.75,2423.870117,000,2423.870117
2003-02-03,2750.399902,2802.929932,2433.149902,2547.050049,000,2547.050049
2003-01-02,2898.679932,3157.25,2563.919922,2747.830078,000,2747.830078
2002-12-02,3332.72998,3476.830078,2836.01001,2892.629883,000,2892.629883
2002-11-01,3152.189941,3443.48999,2987.850098,3320.320068,000,3320.320068
2002-10-01,2772.959961,3299.01001,2519.300049,3152.850098,000,3152.850098
2002-09-02,3698.689941,3698.689941,2719.48999,2769.030029,000,2769.030029
2002-08-01,3699.310059,3930.959961,3235.379883,3712.939941,000,3712.939941
2002-07-01,4377.100098,4483.029785,3265.959961,3700.139893,000,3700.139893
2002-06-03,4818.069824,4850.379883,3946.699951,4382.560059,000,4382.560059
2002-05-02,5043.009766,5126.330078,4741.950195,4818.299805,000,4818.299805
2002-04-02,5379.640137,5379.640137,4929.350098,5041.200195,000,5041.200195
2002-03-01,5025.959961,5467.310059,5003.060059,5397.290039,000,5397.290039
2002-02-01,5109.47998,5165.970215,4706.009766,5039.080078,000,5039.080078
2002-01-02,5155.259766,5352.160156,4974.580078,5107.609863,000,5107.609863
2001-12-03,4986.580078,5341.859863,4872.25,5160.100098,000,5160.100098
2001-11-01,4556.709961,5217.470215,4481.549805,4989.910156,000,4989.910156
2001-10-01,4315.060059,4874.310059,4157.600098,4559.129883,000,4559.129883
2001-09-03,5195.669922,5220.100098,3539.179932,4308.149902,000,4308.149902
2001-08-01,5859.680176,5930.450195,5124.689941,5188.169922,000,5188.169922
2001-07-02,6053.810059,6131.970215,5551.140137,5861.189941,000,5861.189941
2001-06-01,6122.959961,6278.040039,5758.689941,6058.379883,000,6058.379883
2001-05-02,6272.029785,6337.470215,5960.459961,6123.259766,000,6123.259766
2001-04-02,5843.370117,6271.200195,5383.990234,6264.509766,000,6264.509766
2001-03-01,6212.660156,6342.540039,5351.47998,5829.950195,000,5829.950195
2001-02-01,6788.569824,6788.569824,6071.350098,6208.240234,000,6208.240234
2001-01-02,6431.140137,6795.140137,6172.439941,6795.140137,000,6795.140137
2000-12-01,6379.259766,6813.299805,6110.259766,6433.609863,684200,6433.609863
2000-11-01,7093.839844,7185.660156,6361.430176,6372.330078,1045400,6372.330078
2000-10-02,6800.069824,7087.919922,6297.490234,7077.439941,309500,7077.439941
2000-09-01,7221.410156,7456.709961,6468.459961,6798.120117,1047600,6798.120117
2000-08-01,7194.029785,7395.810059,6954.600098,7244.790039,1043400,7244.790039
2000-07-03,6912.970215,7503.319824,6842.609863,7190.370117,333300,7190.370117
2000-06-01,7117.569824,7486.399902,6851.839844,6882.439941,000,6882.439941
2000-05-02,7407.529785,7571.720215,6794.080078,7109.669922,000,7109.669922
2000-04-03,7599.779785,7641.529785,6890.959961,7414.680176,000,7414.680176
2000-03-01,7645.299805,8136.160156,7411.759766,7599.390137,000,7599.390137
2000-02-01,6841.120117,7813.200195,6841.120117,7644.549805,000,7644.549805
2000-01-03,6961.720215,7306.47998,6388.910156,6835.600098,000,6835.600098
1999-12-01,5891.27002,6992.919922,5836.72998,6958.140137,000,6958.140137
1999-11-01,5518.740234,6032.669922,5474.120117,5896.040039,000,5896.040039
1999-10-01,5166.569824,5557.910156,5078.589844,5525.399902,000,5525.399902
1999-09-01,5286.580078,5530.759766,5069.870117,5149.830078,000,5149.830078
1999-08-02,5088.649902,5455.839844,4948.080078,5270.77002,000,5270.77002
1999-07-01,5428.339844,5686.549805,5035.200195,5101.870117,000,5101.870117
1999-06-01,5083.620117,5500.930176,4980.629883,5378.52002,000,5378.52002
1999-05-03,5372.680176,5449.220215,5003.970215,5069.830078,000,5069.830078
1999-04-01,4852.390137,5397.640137,4779.040039,5393.109863,000,5393.109863
1999-03-01,4923.310059,5151.009766,4605.27002,4884.200195,000,4884.200195
1999-02-01,5193.029785,5287.959961,4749.450195,4911.810059,000,4911.810059
1999-01-04,4991.950195,5509.339844,4768.410156,5159.959961,000,5159.959961
1998-12-01,4986.810059,5085.470215,4451.200195,5002.390137,000,5002.390137
1998-11-02,4722.839844,5176.27002,4617.410156,5022.700195,000,5022.700195
1998-10-01,4389.209961,4722.089844,3833.709961,4671.120117,000,4671.120117
1998-09-01,4727.350098,5161.399902,4357.419922,4474.509766,000,4474.509766
1998-08-03,5811.419922,5818.149902,4752.399902,4833.890137,000,4833.890137
1998-07-01,5863.25,6199.580078,5810.950195,5873.919922,000,5873.919922
1998-06-02,5569.890137,5921.399902,5512.580078,5897.439941,000,5897.439941
1998-05-04,5251.410156,5664.839844,5172.950195,5569.080078,000,5569.080078
1998-04-01,5084.100098,5436.799805,4992.100098,5107.439941,000,5107.439941
1998-03-02,4696.50,5136.799805,4612.100098,5097.299805,000,5097.299805
1998-02-02,4481.00,4736.100098,4474.299805,4693.899902,000,4693.899902
1998-01-02,4270.700195,4458.299805,4053.899902,4442.50,000,4442.50
1997-12-01,4000.00,4320.00,4000.00,4224.299805,000,4224.299805
1997-11-03,3802.699951,3986.399902,3645.800049,3972.100098,000,3972.100098
1997-10-01,4154.600098,4363.700195,3366.00,3753.699951,000,3753.699951
1997-09-01,3942.50,4196.799805,3783.100098,4154.899902,000,4154.899902
1997-08-01,4422.200195,4460.200195,3849.899902,3919.800049,000,3919.800049
1997-07-01,3782.699951,4477.700195,3782.600098,4405.50,000,4405.50
1997-06-02,3551.00,3836.899902,3544.50,3766.899902,000,3766.899902
1997-05-02,3448.699951,3695.300049,3448.699951,3562.699951,000,3562.699951
1997-04-01,3336.100098,3452.600098,3192.300049,3438.100098,000,3438.100098
1997-03-03,3264.50,3475.00,3260.199951,3429.100098,000,3429.100098
1997-02-03,3034.300049,3287.800049,3032.300049,3259.600098,000,3259.600098
1997-01-02,2855.199951,3041.600098,2833.800049,3035.199951,000,3035.199951
1996-12-02,2854.800049,2914.600098,2760.800049,2888.699951,000,2888.699951
1996-11-01,2675.399902,2845.50,2665.899902,2845.50,000,2845.50
1996-10-01,2647.50,2739.300049,2645.899902,2659.300049,000,2659.300049
1996-09-02,2540.800049,2672.600098,2510.300049,2651.899902,000,2651.899902
1996-08-01,2492.199951,2571.699951,2491.00,2543.800049,000,2543.800049
1996-07-01,2563.899902,2583.699951,2446.199951,2473.399902,000,2473.399902
1996-06-03,2526.800049,2578.699951,2524.399902,2561.399902,000,2561.399902
1996-05-02,2490.699951,2571.800049,2455.199951,2542.800049,000,2542.800049
1996-04-01,2495.399902,2554.800049,2487.100098,2505.300049,000,2505.300049
1996-03-01,2494.699951,2526.300049,2400.50,2485.899902,000,2485.899902
1996-02-01,2472.00,2484.50,2375.100098,2473.600098,000,2473.600098
